page	section	order	file	kind	title	state	commit	sources	parent	aliases
R-diag-4	reference	70	reference/diagnostics-verification.topic	reference	AW4xxx - verification and engine faults	done	76d50f1	aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/diagnostic/DiagnosticCode.java;aether-weaver-engine/src/main/java/de/splatgames/aether/weaver/engine/verify/	R-diagnostics	AW4xxx
R-diagnostics	reference	30	reference/diagnostics.topic	reference	Diagnostic codes	done	49bfdd6	aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/diagnostic/DiagnosticCode.java		Diagnostics
R-config-keys	reference	80	reference/configuration-keys.topic	reference	Configuration keys	done	3f32927	aether-weaver-runtime/src/main/java/de/splatgames/aether/weaver/runtime/config/		The configuration reference;Driver options
R-maven-goals	reference	90	reference/maven-goals.topic	reference	Maven goals	done	3f32927	aether-weaver-maven-plugin/src/main/java/de/splatgames/aether/weaver/maven/		The Maven plugin;The plugin reference
R-agent-options	reference	100	reference/agent-options.topic	reference	Agent options	done	3f32927	aether-weaver-agent/src/main/java/de/splatgames/aether/weaver/agent/WeaverAgent.java;aether-weaver-agent/src/main/java/de/splatgames/aether/weaver/agent/RetransformApplicability.java;aether-weaver-agent/src/main/java/de/splatgames/aether/weaver/agent/ModuleAccess.java		
R-manifest	reference	120	reference/manifest-format.topic	reference	The weave manifest	done	1bd8fe9	aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/manifest/;aether-weaver-processor/src/main/java/de/splatgames/aether/weaver/processor/ManifestEmitter.java;aether-weaver-runtime/src/main/java/de/splatgames/aether/weaver/runtime/ManifestWeaveSource.java		The manifest reference
R-artifacts	reference	130	reference/artifacts.topic	reference	Artefacts and modules	done	1bd8fe9	pom.xml;aether-weaver-bom/pom.xml;aether-weaver-tests/src/test/java/de/splatgames/aether/weaver/architecture/		
H-reference	reference	999	reference/reference.topic	hub	Reference	done	47e09ab			
T-intellij	tooling	10	tooling/intellij-plugin.topic	reference	The IntelliJ IDEA plugin	done	0af3cd2	aether-weaver-ide/aether-weaver-idea/src/main/resources/META-INF/plugin.xml;aether-weaver-ide/aether-weaver-idea/src/main/java/;aether-weaver-ide/README.md		
H-tooling	tooling	999	tooling/tooling.topic	hub	Tooling	done	47e09ab	aether-weaver-ide/README.md		
X-layout	contributing	10	contributing/repository-layout.topic	explain	Repository layout	done	0af3cd2	pom.xml;aether-weaver-tests/src/test/java/de/splatgames/aether/weaver/architecture/;build-config/checkstyle.xml		
X-building	contributing	20	contributing/building-and-testing.topic	howto	Building and testing	done	0af3cd2	pom.xml;.github/workflows/build.yml;build-config/checkstyle.xml		
X-javadoc	contributing	30	contributing/javadoc-policy.topic	explain	JavaDoc policy	done	c43d713	build-config/reweave/STYLE.md;aether-weaver-tests/src/test/java/de/splatgames/aether/weaver/architecture/		
X-release-notes	contributing	40	contributing/release-notes.topic	reference	Release notes	done	128b229	pom.xml;CHANGELOG.md;aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/experimental/package-info.java		
H-contributing	contributing	999	contributing/contributing.topic	hub	Contributing	done	47e09ab			
P-what	plugins	10	plugins/what-a-plugin-can-do.topic	explain	What a plugin can do	done	c223721	aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/spi/package-info.java;aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/spi/WeaverPlugin.java;aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/spi/PluginContext.java;aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/spi/WeaverApi.java		
P-lifecycle	plugins	20	plugins/plugin-lifecycle.topic	explain	The plugin lifecycle	done	c223721	aether-weaver-engine/src/main/java/de/splatgames/aether/weaver/engine/plugin/PluginLoader.java;aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/spi/PluginEvent.java;aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/spi/WeaverPlugin.java;aether-weaver-engine/src/main/java/de/splatgames/aether/weaver/engine/plugin/PluginRegistry.java		
P-namespaces	plugins	30	plugins/namespaces.topic	explain	Namespaces and identifiers	done	c223721	aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/spi/PluginId.java;aether-weaver-engine/src/main/java/de/splatgames/aether/weaver/engine/plugin/NamespacedRegistry.java;aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/spi/PluginContext.java;aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/spi/Alias.java		
P-reporting	plugins	40	plugins/reporting.topic	explain	Report rather than throw	done	6e8fdc1	aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/spi/Reporter.java;aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/spi/DiagnosticListener.java;aether-weaver-engine/src/main/java/de/splatgames/aether/weaver/engine/plugin/PluginLoader.java;aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/spi/WeavePolicy.java		
P-loading	plugins	50	plugins/loading-plugins.topic	explain	Loading and isolating plugins	done	6e8fdc1	aether-weaver-engine/src/main/java/de/splatgames/aether/weaver/engine/plugin/PluginLoader.java;aether-weaver-engine/src/main/java/de/splatgames/aether/weaver/engine/plugin/PluginIsolation.java;aether-weaver-engine/src/main/java/de/splatgames/aether/weaver/engine/plugin/PluginFilter.java;aether-weaver-engine/src/main/java/de/splatgames/aether/weaver/engine/WeaverBuilder.java		
P-write	plugins	60	plugins/write-a-plugin.topic	howto	Write a plugin	done	6e8fdc1	aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/spi/WeaverPlugin.java;aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/spi/PluginId.java;aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/spi/PluginContext.java;aether-weaver-engine/src/main/java/de/splatgames/aether/weaver/engine/inject/CorePlugin.java		Writing a plugin
P-point	plugins	70	plugins/contribute-an-injection-point.topic	howto	Contribute an injection point	done	661f4e6	aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/spi/InjectionPointFactory.java;aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/spi/InjectionPoint.java;aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/spi/Site.java;aether-weaver-engine/src/main/java/de/splatgames/aether/weaver/engine/inject/point/BuiltInPoints.java	P-write	
P-injector	plugins	80	plugins/contribute-an-injector.topic	howto	Contribute an injector	done	661f4e6	aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/spi/InjectorFactory.java;aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/spi/Injector.java;aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/spi/InjectionContext.java;aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/spi/HandlerBinding.java	P-write	
P-spi	plugins	90	plugins/spi.topic	reference	The plugin SPI	done	661f4e6	aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/spi/package-info.java;aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/spi/		SPI
H-plugins	plugins	999	plugins/plugins.topic	hub	Extending the engine	done	94481b3			
C-discovery	concepts	15	concepts/weave-discovery.topic	explain	How a weave is found	done	05f98e9	aether-weaver-runtime/src/main/java/de/splatgames/aether/weaver/runtime/WeaveDiscovery.java;aether-weaver-runtime/src/main/java/de/splatgames/aether/weaver/runtime/ManifestWeaveSource.java;aether-weaver-maven-plugin/src/main/java/de/splatgames/aether/weaver/maven/ClassDirectory.java;aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/manifest/WeaveManifest.java;aether-weaver-processor/src/main/java/de/splatgames/aether/weaver/processor/ManifestEmitter.java		
